"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
2142.1,1553.22,1553.22,EUR,"",2015-12-16,2015-12-14,"",UCL,"Neurobiology of Learning and Memory","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Context-specific activation of hippocampus and SN/VTA by reward is related to enhanced long-term memory for embedded objects"
1963.59,1396,1396,EUR,"",2015-11-11,2015-10-28,"",UCL,Neuroimage,"","","","Elsevier BV",2015,"Journal Article/Review",0,"","Neural signals encoding shifts in belief"
1963.59,1393.92,1393.92,EUR,"",2015-12-09,2015-11-26,"",UCL,"Free Radical Biology and Medicine","","","","Elsevier BV",2015,"Journal Article/Review",0,"","The metabolism and de-bromination of bromotyrosine in vivo"
1963.59,1393.92,1393.92,EUR,"",2015-12-09,2015-12-02,"",UCL,Neuroimage,"","","","Elsevier BV",2015,"Journal Article/Review",0,"","The quest for the best: The impact of different EPI sequences on the sensitivity of random effect fMRI group analyses"
1963.59,1393.75,1393.75,EUR,"",2015-12-09,2015-11-12,"",UCL,Neuroimage,"","","","Elsevier BV",2015,"Journal Article/Review",0,"","Specific white matter tissue microstructure changes"
1963.59,1374.84,1374.84,EUR,"",2015-12-02,2015-11-30,"",UCL,Neuroimage,"","","","Elsevier BV",2015,"Journal Article/Review",0,"","Causal evidence that intrinsic beta frequency is relevant for enhanced signal propagation in the motor system as shown through rhythmic TMS"
1927.88,1367.57,1367.57,EUR,"",2015-11-18,2015-11-03,"",UCL,Cognition,"","","","Elsevier BV",2015,"Journal Article/Review",0,"","Prospective and Pavlovian mechanisms in aversive behaviour"
892.54,642.52,642.52,EUR,"",2015-12-09,2015-10-27,"",UCL,"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring","","","","Elsevier BV",2015,"Journal Article/Review",0,"","Using florbetapir PET to explore CSF cut-points and grey zones in small sample sizes"
3000,2350.67,2350.67,USD,"",2015-11-04,2015-10-19,"",UCL,"Journal of Clinical Endocrinology and Metabolism","","","","Endocrine Society",2015,"Journal Article/Review",0,"","Diurnal cortisol rhythm is associated with adverse cardiac events and mortality in coronary artery bypass patients"
3000,2350.62,2350.62,USD,"",2015-10-14,2015-10-02,"",UCL,"Journal of Clinical Endocrinology and Metabolism","","","","Endocrine Society",2015,"Journal Article/Review",0,"","Copeptin, insulin resistance and risk"
1282.5,820.8,820.8,USD,"",2015-12-14,2015-10-21,"",UCL,"Frontiers in Molecular Neuroscience","","","","Frontiers Media SA",2015,"Journal Article/Review",0,"","Missense mutation R338W in ARHGEF9 in a family with X-linked intellectual disability with variable macrocephaly and macro-orchidism"
1282.5,820.8,820.8,USD,"",2015-12-14,2016-01-13,"",UCL,"Frontiers in Molecular Neuroscience","","","","Frontiers Media SA",2015,"Journal Article/Review",0,"","Novel missense mutation A789V in IQSEC2 underlies X-linked intellectual disability in the MRX78 family"
1440,1368,1368,EUR,"",2015-12-03,2015-06-25,"",UCL,"Frontiers in Human Neuroscience","","","","Frontiers Media SA",2015,"Journal Article/Review",0,"","Sharing a context with other rewarding events selectively improves recollection of neutral events"
864,820.8,820.8,EUR,"",2015-12-04,2015-07-15,"",UCL,"Frontiers in Psychology","","","","Frontiers Media SA",2015,"Journal Article/Review",0,"","Aberrant delay discounting in psychiatric disorders: a computational approach"
2040,2040,2040,GBP,"",2015-12-21,2015-11-04,"",UCL,Nanomedicine,"","","","Future Medicine Ltd",2015,"Journal Article/Review",0,"","Real-time tracking of delayed-onset cellular apoptosis induced by intracellular magnetic hyperthermia"
2040,2040,2040,GBP,"",2015-10-05,2015-07-06,"",UCL,"Future Medicine","","","","Future Medicine Ltd",2015,"Journal Article/Review",0,"","Pteridine-2,4-diamine derivatives as radical scavengers and inhibitors of lipoxygenase that can possess anti-inflammatory properties"
2000,1589.96,1589.96,USD,"",2015-12-16,2015-09-30,"",UCL,Genetics,"","","","Genetics Society of America",2015,"Journal Article/Review",0,"","Simple biophysical model predicts faster accumulation of hybrid incompatibilities in small populations under stabilising selection"
1500,1173.68,1173.68,USD,"",2015-10-14,2015-10-15,"",UCL,"Neural Plasticity","","","","Hindawi Publishing Corporation",2015,"Journal Article/Review",0,"","Large and Small Dendritic Spines Serve Different Interacting Functions in Hippocampal Synaptic Plasticity and Homeostasis"
1000,801.32,801.32,USD,"",2015-12-17,2015-12-17,"",UCL,"Biomed Research International","","","","Hindawi Publishing Corporation",2015,"Journal Article/Review",0,"","Serial patterns of ovarian cancer biomarkers in a pre-diagnosis longitudinal dataset"
2000,1551.4,1551.4,USD,"",2015-10-21,2015-10-19,"",UCL,"Biomed Research International","","","","Hindawi Publishing Corporation",2015,"Journal Article/Review",0,"","Variations in the intra-gene methylation profiles hallmark induced pluripotency"
1500,1184.96,1184.96,USD,"",2015-10-14,2015-09-30,"",UCL,"Oxidative Medicine and Cellular Longevity","","","","Hindawi Publishing Corporation",2015,"Journal Article/Review",0,"","Microglia mediate the neuroprotective effects of the plant-derived chalcone 2,2',5'-trihydroxychalcone"
1575,1008,1008,USD,"",2015-12-10,2015-12-08,"",UCL,"IEEE Transactions on Nuclear Science","","","","Institute of Electrical and Electronics Engineers (IEEE)",2015,"Journal Article/Review",0,"","Improved parameter-estimation with MRI-constrained PET kinetic modeling: a simulation study"
1092,1092,1092,GBP,"",2015-11-23,2015-09-28,"",UCL,"New Journal of Physics","","","","IOP Publishing",2015,"Journal Article/Review",0,"","Measurement-assisted quantum communication in spin channels with dephasing"
0,0,0,GBP,"",2015-05-21,2015-05-12,"",UCL,"Physica Scripta","CC BY","","","IOP Publishing",2015,"Journal Article/Review",0,"","My life and the world of crystals"
702,702,702,GBP,"",2015-12-17,2015-10-30,"",UCL,"New Journal of Physics","","","","IOP Publishing",2015,"Journal Article/Review",0,"","Exact and Efficient Simulation of Concordant Computation"
300,220.28,220.28,EUR,"",2015-09-16,2015-08-28,"",UCL,"Nanomaterials and regenerative medicine book chapter","","","","International Association of Physical Chemists  (IAPC)",2015,"Book chapter",0,"","Applications of nanomaterials in mechano-sensitive tissues"
2033,1585.85,1585.85,USD,"",2015-11-11,2015-10-19,"",UCL,"Journal of Medical Internet Research","","","","Journal of Medical Internet Research",2015,"Journal Article/Review",0,"","Use of the internet for sexual health: Evidence from a nationally-representative survey of the British population"
2033,1607,1607,USD,"",2015-12-16,2015-12-04,"",UCL,"JMIR Research Protocols","","","","Journal of Medical Internet Research",2015,"Journal Article/Review",0,"","A cross-sectional study on ‘Attitudes to and Understanding of Risk of Acquisition of HIV’ (AURAH) study: Design, Methods and Participant Characteristics"
1800,1392.57,1392.57,USD,"",2015-08-26,2015-07-31,"",UCL,"Journal of Visualized Experiments","","","","MyJove Corporation",2015,"Journal Article/Review",0,"","Intravenous endotoxin challenge in healthy humans: an experimental platform to investigate and modulate systemic inflammation"
1800,1383.66,1383.66,USD,"",2015-05-20,2015-05-15,"",UCL,"Journal of Visualized Experiments","","","","MyJove Corporation",2015,"Journal Article/Review",0,"","Using Fiberless, Wearable fNIRS to Monitor Brain Activity in Real-world Cognitive Tasks"
1800,1381.7,1381.7,USD,"",2015-08-12,2015-08-06,"",UCL,"Journal of Visualized Experiments","","","","MyJove Corporation",2015,"Journal Article/Review",0,"","Biochemical isolation of insoluble alpha-synuclein from Parkinsonian brains using differential ultracentrifugation"
3200,2486.06,2486.06,USD,"",2015-11-11,2015-10-15,"",UCL,"Stem Cells and Development","","","","Mary Ann Liebert Inc",2015,"Journal Article/Review",0,"","Downregulation of the canonical Wnt signalling pathway by TGF?1 inhibits photoreceptor differentiation of adult human Müller glia with stem cell characteristics"
3200,2102.93,2102.93,USD,"",2015-12-09,2015-10-29,"",UCL,"Brain Connectivity","","","","Mary Ann Liebert Inc",2015,"Journal Article/Review",0,"","Sexual dismorphism in white matter developmental trajectories using tract-based spatial statistics"
3780,3780,3780,GBP,"",2015-10-19,2015-09-11,"",UCL,"Nature Communications","","","","Springer Nature",2015,"Journal Article/Review",0,"","An orphan gene is necessary for preaxial digit formation during salamander limb development"
3360,3360,3360,GBP,"",2015-11-05,2015-10-28,"",UCL,"International Journal of Obesity","","","","Springer Nature",2015,"Journal Article/Review",0,"","Adolescent Self Control Behavior Predict Body Weight through the Life Course: a prospective birth cohort study"
2880,2880,2880,GBP,"",2015-12-10,2015-10-29,"",UCL,"Molecular Psychiatry","","","","Springer Nature",2015,"Journal Article/Review",0,"","Brain iron accumulation affects myelin-related molecular systems implicated in a rare neurogenetic disease family with neuropsychiatric features"
1188,1188,1188,GBP,"",2015-10-08,2015-09-07,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Computational analysis of stochastic heterogeneity in PCR amplification efficiency revealed by single molecule barcoding"
1188,1188,1188,GBP,"",2015-10-19,2015-09-17,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Controllable degradation kinetics of POSS nanoparticle-integrated poly(?-caprolactone urea)urethane elastomers for tissue engineering applications"
1188,1188,1188,GBP,"",2015-12-10,2015-11-06,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Preclinical detection of infectivity and disease-specific PrP in blood throughout the incubation period of prion disease"
1188,1188,1188,GBP,"",2015-11-16,2015-10-15,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","X-ray absorption, phase and dark-field tomography through a beam tracking approach"
"",0,0,GBP,"",2015-12-14,2015-11-16,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","High contrast microstructural visualization of natural acellular matrices by means of phase-based x-ray tomography"
3780,3780,3780,GBP,"",2015-11-19,2015-10-01,"",UCL,"Nature Communications","","","","Springer Nature",2015,"Journal Article/Review",0,"","Endogenous opioids contribute to insensitivity to pain in humans and mice lacking sodium channel Nav1.7"
1188,1188,1188,GBP,"",2015-10-26,2015-10-15,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Social Redistribution of Pain and Money"
1188,1188,1188,GBP,"",2015-11-12,2015-10-15,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","A striking reduction of simple loudness adaptation in autism"
1188,1188,1188,GBP,"",2015-11-12,2015-10-21,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Age-associated changes in rich-club organisation in autistic and neurotypical human brains"
1188,1188,1188,GBP,"",2015-11-23,2015-11-02,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Evidence for surprise minimization over value maximization in choice behavior"
1188,1188,1188,GBP,"",2015-11-23,2015-10-20,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Co-Expression Network Models Suggest that Stress Increases Tolerance to Mutations"
3780,3780,3780,GBP,"",2015-10-19,2015-09-30,"",UCL,"Nature Communications","","","","Springer Nature",2015,"Journal Article/Review",0,"","Social organization and cooperation in Sino-Tibetan population"
1188,1188,1188,GBP,"",2015-11-12,2015-06-08,"",UCL,"Scientific Reports","","","","Springer Nature",2015,"Journal Article/Review",0,"","Human corneal stromal stem cells support limbal epithelial cells cultured on RAFT tissue equivalents"
1035,829.38,829.38,USD,"",2015-12-17,2015-12-16,"",UCL,Optica,"","","","Optical Society of America",2015,"Journal Article/Review",0,"","Single-pixel optical camera for video rate ultrasonic imaging"
1884,1472.93,1472.93,USD,"",2015-06-03,2015-05-19,"",UCL,"Optics Express","","","","Optical Society of America",2015,"Journal Article/Review",0,"","An achromatic approach to phase-based multi-modal imaging with conventional X-ray sources"
1453,1135.86,1135.86,USD,"",2015-10-14,2015-10-08,"",UCL,"Biomedical Optics Express","","","","Optical Society of America",2015,"Journal Article/Review",0,"","Screening neonatal jaundice based on the sclera color of the eye using digital photography"
1884,1475.57,1475.57,USD,"",2015-11-04,2015-10-30,"",UCL,"Optics Express","","","","Optical Society of America",2015,"Journal Article/Review",0,"","Efficient numerical technique for simulating image formation"
2400,2400,2400,GBP,"",2015-10-15,2015-09-22,"",UCL,"International Journal of Epidemiology","","","","Oxford University Press (OUP)",2015,"Journal Article/Review",0,"","Work-family life courses and markers of stress and inflammation: evidence from the National Child Development Study"
2400,2400,2400,GBP,"",2015-10-29,2015-10-06,"",UCL,Brain,"","","","Oxford University Press (OUP)",2015,"Journal Article/Review",0,"","The Clinical and Genetic Heterogeneity of Paroxysmal Dyskinesias"
2052,2052,2052,GBP,"",2015-11-04,2015-10-23,"",UCL,"European Journal of Public Health","","","","Oxford University Press (OUP)",2015,"Journal Article/Review",0,"","Comparison of food and nutrient intakes between cohorts of the HAPIEE and Whitehall II studies"
2000,2000,2000,GBP,"",2015-10-15,2015-09-21,"",UCL,"Cardiovascular Research","","","","Oxford University Press (OUP)",2015,"Journal Article/Review",0,"","Inhibition of NAADP signalling on reperfusion protects the heart by preventing lethal calcium oscillations via two-pore channel 1 and opening of the mitochondrial permeability transition pore"
900,900,900,GBP,"",2015-11-23,2015-10-15,"",UCL,"Journal of Cybersecurity","","","","Oxford University Press (OUP)",2015,"Journal Article/Review",0,"","Optimising Time Allocation for Network Defense"
2400,2400,2400,GBP,"",2015-10-01,2015-09-10,"",UCL,Brain,"","","","Oxford University Press (OUP)",2015,"Journal Article/Review",0,"","Dynamic risk control by human nucleus accumbens"
2400,2400,2400,GBP,"",2015-10-12,2015-09-21,"",UCL,Brain,"","","","Oxford University Press (OUP)",2015,"Journal Article/Review",0,"","Pain and temperature processing in dementia: a clinical and neuroanatomical analysis"
"",0,0,USD,"",2015-07-22,2015-07-22,"",UCL,PeerJ,"","","",PeerJ,2015,"Journal Article/Review",0,"","Modeling the effects of cyclodextrin on intracellular membrane vesicles from Cos-7 cells prepared by sonication and carbonate treatment"
2700,2700,2700,GBP,"",2015-01-12,2015-01-06,"",UCL,"International Innovation","CC BY-NC","","","Research Media",2015,"Journal Article/Review",1,"","UK Catalysis Hub"
2400,2400,2400,GBP,"",2015-05-18,2015-04-29,"",UCL,"British Journal of General Practice","","","","Royal College of General Practitioners",2015,"Journal Article/Review",0,"","Comparison of brief interventions in primary care on smoking and excessive alcohol consumption in England: a population survey"
