"Year","Institution - Abbrv","Instsitution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","APC in NOK"
2016,"UiO","University of Oslo","Innovative Bayesian and parsimony phylogeny of dung beetles (Coleoptera, Scarabaeidae, Scarabaeinae)","PLOS One","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0116671",12870.56
2016,"UiO","University of Oslo","Perception of own efforts; Patient centered - vs. clinically observed …","BMC Oral health","1472-6831",2,"http://dx.doi.org/10.1186/s12903-015-0037-3",17640.61
2016,"UiO","University of Oslo","Medication use before, during, and after pregnancy among women with eating disorders …","PLOS One","1932-6203",1,"10.1371/journal.pone.0133045",11298.29
2016,"UiO","University of Oslo","Radiographic bone level measurements: A digital tool for longitudinal studies.","BMC Oral health","1472-6831",2,"http://dx.doi.org/10.1186/s12903-015-0092-9",19158.74
2016,"UiO","University of Oslo","Continued cannabis use at one year follow up is associated with elevated mood and lower global functioning in bipolar I disorder","BMC Psychiatry","1471-244X",1,"http://dx.doi.org/10.1186/s12888-015-0389-x",19669.56
2016,"UiO","University of Oslo","STAMP2 increases oxidative stress and is critical for prostate cancer","EMBO Molecular Medicine","1757-4684",2,"http://dx.doi.org/10.15252/emmm.201404181",32701.43
2016,"UiO","University of Oslo","One-year trajectories of Mental and Physical Functioning during and after rehabilitation among individuals with disabilities","Health and Quality of Life Outcomes","1477-7525",1,"http://dx.doi.org/10.1186/s12955-015-0328-z",15209.86
2016,"UiO","University of Oslo","Is there a role for monocyte chemoattractant protein-1 in delirium?","BMC Research Notes","1756-0500",1,"http://dx.doi.org/10.1186/s13104-015-1129-5",11760.00
2016,"UiO","University of Oslo","Soluble RAGE and early atherosclerosis in type 1 diabetes (Publ. tittel: Soluble RAGE and atherosclerosis in youth with type 1 d iabetes: a 5-year follow-up study)","Cardiovascular Diabetology (BMC)","1475-2840",1,"http://dx.doi.org/10.1186/s12933-015-0292-2",19664.96
2016,"UiO","University of Oslo","Blood pressure differences between patients with lacunar and non-lacunar infarcts","Brain and behaviour (Wiley)","2162-3279",1,"http://dx.doi.org/10.1002/brb3.353",17743.43
2016,"UiO","University of Oslo","Effect of storage temperature on structure and function of cultured human…","PLOS One","1932-6203",1,"10.1371/journal.pone.0128306",13201.15
2016,"UiO","University of Oslo","Mapping the global mRNA transcriptome during Development of the murine first molar.","Frontiers in Genetics","1664-8021",1,"http://dx.doi.org/10.3389/fgene.2015.00047",17722.80
2016,"UiO","University of Oslo","Outer membrane vesicles - offensive weapons or good Samaritans?","Journal of Oral Microbiology","2000-2297",1,"http://dx.doi.org/10.3402/jom.v7.27468",17159.00
2016,"UiO","University of Oslo","Oligomerized, filamentous surface presentation of RANTES/CCL5","Scientific Reports","2045-2322",1,"doi:10.1038/srep09261",12529.21
2016,"UiO","University of Oslo","End-of-life care communications and shared decision-making in Norwegian nursing homes …","BMC Geriatrics","1471-2318",1,"http://dx.doi.org/10.1186/s12877-015-0096-y",18824.75
2016,"UiO","University of Oslo","The Ethics of Pedophilia","Nordic Journal of Applied Ethics (Tapir)/Etikk i praksis","1890-4009",1,"http://dx.doi.org/10.5324/eip.v9i1.1718",1875.00
2016,"UiO","University of Oslo","Alginate hydrogel enriched with enamel matrix derivative to target osteogenic cell differentiation in TiO2 scaffolds","Journal of Tissue Engineering","2041-7314",1,"doi: 10.1177/2041731415575870 ",14053.00
2016,"UiO","University of Oslo","Subfractions of enamel matrix derivative differentially influence cytokine secretion from human oral fibroblasts","Journal of Tissue Engineering","2041-7314",1,"http://dx.doi.org/10.1177/2041731415575857",13676.38
2016,"UiO","University of Oslo","Topical treatment with fresh human milk versus emollient on atopic eczema spots in young children…","BMC Dermatology","1471-5945",1,"http://dx.doi.org/10.1186/s12895-015-0027-9",17640.61
2016,"UiO","University of Oslo","The association between hyperandrogenemia and the metabolic syndrome in morbidly obese women","Diabetology & Metabolic Syndrome (BMC) ","1758-5996",1,"DOI: 10.1186/s13098-015-0040-5",18462.19
2016,"UiO","University of Oslo","c-Myb binding sites in hematopoietic chromatin landscapes","PLOS One","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0133280",13800.89
2016,"UiO","University of Oslo","Reduced MCMV ...m157 viral clearance in the absence of TSAd","Scientific Reports","2045-2322",1,"http://dx.doi.org/10.1038/srep09219",12506.56
2016,"UiO","University of Oslo","Liquid chromatography-mass spectrometry platform for both small neurotransmitters and neuropeptides in blood, with automatic and robust solid phase extraction.","Scientific Reports","2045-2322",1,"http://dx.doi.org/10.1038/srep09308",12406.54
2016,"UiO","University of Oslo","Links between genetic groups, indole alkaloid profiles and ecology within the grass-parasitic Claviceps purpurea species complex","Toxins","2072-6651",1,"doi:10.3390/toxins7051431",12383.85
2016,"UiO","University of Oslo","Altered β1-3-adrenoceptor influence on α2-adrenoceptor-mediated control of catecholamine release and vascular tension in hypertensive rats","Frontiers in Physiology","1664-042X",1,"http://dx.doi.org/10.3389/fphys.2015.00120",16748.80
2016,"UiO","University of Oslo","Influence of Personal Social Network and Coping Skills on Risk for Suicidal Ideation in Chinese University Students","PLOS One","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0121023",12890.14
2016,"UiO","University of Oslo","IP-10 measured by Dry Plasma Spots as biomarker for therapy responses in Mycobacterium Tuberculosis infection","Scientific Reports","2045-2322",1,"doi:10.1038/srep09223",12506.56
2016,"UiO","University of Oslo","Abundant genetic overlap between blood lipids and immune-mediated diseases indicates shared molecular genetic mechanisms","PLOS One","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0123057",13854.80
2016,"UiO","University of Oslo","The effects of exendin-4 treatment on graft failure; an animal study using a novel re-vascularized minimal human islet transplant model.","PLOS One","1932-6203",1,"DOI: 10.1371/journal.pone.0121204
",13012.74
2016,"UiO","University of Oslo","HEALTH-RELATED QUALITY OF LIFE IN MYASTHENIA GRAVIS SUBGROUPS","Health and Quality of Life Outcomes","1477-7525",1,,19416.82
2016,"UiO","University of Oslo","Association of the FAM46A Gene VNTR and BAG6 rs3117582 SNP with Susceptibility to Breast Cancer","BMC Medical Genetics","1471-2350",1,,13854.80
2016,"UiO","University of Oslo","Indirect effects of habitat disturbance on invasion: nutritious litter from a grazing resistant plant favors alien over native Collembola","Ecology and Evolution","2045-7758",1,,16861.94
2016,"UiO","University of Oslo","Use of emergency care services by immigrants--a survey of walk-in patients who attended the Oslo Accident and Emergency Outpatient Clinic","BMC Emergency Medicine","1471-227X",1,"http://dx.doi.org/10.1186/s12873-015-0055-0",17470.95
2016,"UiO","University of Oslo","Small molecule driven hepatocyte differentiation of human pluripotent stem cells","Stem Cell Reports","2213-6711",1,,28279.50
2016,"UiO","University of Oslo","Disability and gray matter atrophy in early multiple sclerosis in patients with and without evidence of disease activity","PLOS One","1932-6203",1,"DOI: 10.1371/journal.pone.0135974",13794.81
2016,"UiO","University of Oslo","Pro- and anti-inflammatory cytokines against Rv2031 are elevated during latent tuberculosis: A study in tuberculosis patients, household contacts and community controls in an endemic setting","PLOS One","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0124134",13643.10
2016,"UiO","University of Oslo","Health service utilization after terrorism: A longitudinal study of survivors of the 2011 Utøya attack in Norway","BMC Health Services Research","1472-6963",2,"http://dx.doi.org/10.1186/s12913-015-0811-6",20470.31
2016,"UiO","University of Oslo","Absent organs - Present selves: Exploring embodiment and gender identity in young Norwegian women’s accounts of hysterectomy","International Journal of Qualitative Studies on Health and Well-Being","1748-2631",1,"http://dx.doi.org/10.3402/qhw.v10.26720",9936.46
2016,"UiO","University of Oslo","Incidence of Knee Cartilage Surgery in Norway, 2008-11","BMJ Open","2044-6055",1,"http://dx.doi.org/10.1136/bmjopen-2015-008423",21718.13
2016,"UiO","University of Oslo","Cynical or deliberative? An analysis of the European Commission’s public communication on its use of expertise in policy-making","Politics and Governance","2183-2463",1,"http://dx.doi.org/10.17645/pag.v3i1.240",3258.04
2016,"UiO","University of Oslo","The Expert-Executive Nexus in the EU: An Introduction","Politics and Governance","2183-2463",1,"http://dx.doi.org/10.17645/pag.v3i1.271",3258.04
2016,"UiO","University of Oslo","MicroRNAs Enrichment in GWAS of Complex Human Phenotypes","BMC Genomics","1471-2164",1,"http://dx.doi.org/10.1186/s12864-015-1513-5",17423.20
2016,"UiO","University of Oslo","Postnatal depression among Sudanese women: prevalence and validation of the Edinburgh Postnatal Depression Scale at three months postpartum","International Journal of Women's Health","1179-1411",1,"http://dx.doi.org/10.2147/IJWH.S81401",10771.57
2016,"UiO","University of Oslo","Reliability of High Speed Ultra Low Voltage Differential CMOS Logic","Circuits and Systems","2153-1293",1,"DOI: 10.4236/cs.2015.65013",5989.65
2016,"UiO","University of Oslo","Conceptual and institutional gaps: what’s needed to bridge aspirations to reality for WHO as an effective cross-sectoral collaborator","Globalization and Health","1744-8603",1,"http://dx.doi.org/doi:10.1186/s12992-015-0128-6",22702.25
2016,"UiO","University of Oslo","Increased LV apical untwist during preload reduction in healthy humans. An echocardiographic speckle tracking study during lower body negative pressure (LBNP)","Physiological Reports","2051-817X",1,"10.14814/phy2.12330",12358.00
2016,"UiO","University of Oslo","Rheological characterization of an injectable alginate gel system","BMC Biotechnology","1472-6750",1,"http://dx.doi.org/10.1186/s12896-015-0147-7",20178.13
2016,"UiO","University of Oslo","Multiple sclerosis risk allele at CLEC16A acts as an expression quantitative trait locus for CLEC16A and SOCS1 in CD4+ T","PLOS One","1932-6203",1,"DOI: 10.1371/journal.pone.0132957",13327.54
2016,"UiO","University of Oslo","The association between body height and chronic low back pain: a follow-up in the Nord Trøndelag Health Study","BMJ Open","2044-6055",1,"http://dx.doi.org/10.1136/bmjopen-2014-006983",16762.10
2016,"UiO","University of Oslo","What do patients bring up in consultations? - An observational study in general practice"," Scandinavian Journal of Primary Health Care","0281-3432",1,"http://dx.doi.org/ 10.3109/02813432.2015.1067518",10879.67
2016,"UiO","University of Oslo","Identification of essential residues for binding and activation in the human 5-HT7(a) receptor by molecular modeling and site-directed mutagenesis","Frontiers in Behavioral Neuroscience","1662-5153",1,"http://dx.doi.org/10.3389/fnbeh.2015.00092",10049.28
2016,"UiO","University of Oslo","The Norwegian General Practice - Nursing Home criteria (NORGEP-NH) for potentially inappropriate medication use. A web based Delphi study.","Scandinavian Journal of Primary Health Care","0281-3432",1," 10.3109/02813432.2015.1041833",3626.56
2016,"UiO","University of Oslo","Theory of mind in females with borderline personality disorder or schizophrenia: differences in overall ability and error patterns","Frontiers in Psychology: Psychopathology","1662-5161",1,"http://dx.doi.org/10.3389/fpsyg.2015.01239",19436.53
2016,"UiO","University of Oslo","Widespread Changes in White Matter Microstructure After a Day of Waking and Sleep Deprivation","PLOS One","1932-6203",1,"DOI: 10.1371/journal.pone.0127351",12712.61
2016,"UiO","University of Oslo","Redetermined crystal structure of β-DL-methionine at 320 K","Acta Crystallographica Section E: Structure Reports Online","1600-5368",1,"http://dx.doi.org/10.1107/S1600536814022211",1565.87
2016,"UiO","University of Oslo","A national study on conditional survival, excess mortality and second cancer after high dose therapy with autologous stem cell transplantation for non-Hodgkin lymphoma","Haematologica","1592-8721",1,"http://dx.doi.org/10.3324/haematol.2014.119214",452.00
2016,"UiO","University of Oslo","No difference in frontal cortical activity during an executive functioning task after acute doses of aripiprazole and haloperidol","Frontiers in Human Neuroscience","1662-5161",1,"http://dx.doi.org/10.3389/fnhum.2015.00296",17785.90
2016,"UiO","University of Oslo","Negative symptoms in schizophrenia are associated with aberrant striato-cortical connectivity in a rewarded perceptual decision-making task","Neuroimage:Clinical","2213-1582",1,"10.1016/j.nicl.2015.04.025",14199.43
